               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.041137,            0.046704,            0.060595,             0.86086,             0.77198,             0.83757,             0.50893,            0.035266,            0.037086,            0.057265,            0.006436,            0.006436,            0.006436
                  38,             0.04085,            0.046582,            0.060522,             0.86058,             0.76975,             0.84024,             0.51389,            0.035261,            0.037121,            0.057253,            0.006337,            0.006337,            0.006337
                  39,            0.040797,            0.045971,            0.060499,             0.86225,             0.76974,             0.84045,             0.51451,            0.035222,            0.037152,            0.057223,            0.006238,            0.006238,            0.006238
                  40,            0.040818,            0.046068,            0.060529,             0.86652,             0.77028,             0.84189,             0.51633,            0.035119,            0.037079,            0.057218,            0.006139,            0.006139,            0.006139
                  41,            0.040534,            0.046009,            0.060485,             0.86484,              0.7708,              0.8395,             0.51628,            0.035088,            0.037053,            0.057204,             0.00604,             0.00604,             0.00604
                  42,            0.040532,            0.045881,             0.06051,             0.86355,             0.77213,             0.84045,             0.51538,            0.035112,            0.037017,            0.057207,            0.005941,            0.005941,            0.005941
                  43,            0.040426,            0.046179,            0.060427,             0.87089,             0.77242,             0.84045,             0.51864,            0.034929,            0.036954,             0.05721,            0.005842,            0.005842,            0.005842
                  44,            0.040467,            0.046028,            0.060481,              0.8678,             0.77305,             0.84244,             0.52022,            0.034888,            0.036884,            0.057208,            0.005743,            0.005743,            0.005743
                  45,            0.040302,            0.045876,            0.060386,             0.86571,             0.77582,               0.845,             0.52096,            0.034876,            0.036876,            0.057172,            0.005644,            0.005644,            0.005644
                  46,            0.040339,            0.045479,            0.060439,             0.87034,             0.77501,             0.84346,             0.52221,            0.034859,            0.036825,            0.057165,            0.005545,            0.005545,            0.005545
                  47,            0.040406,            0.045824,            0.060441,             0.86733,             0.77862,             0.84392,              0.5216,             0.03476,             0.03686,            0.057172,            0.005446,            0.005446,            0.005446
                  48,            0.040291,            0.045474,            0.060407,             0.86674,             0.78063,             0.84454,              0.5241,            0.034679,            0.036804,            0.057153,            0.005347,            0.005347,            0.005347
                  49,            0.040097,            0.045399,             0.06038,             0.86917,             0.78057,             0.84615,             0.52435,            0.034665,            0.036708,            0.057147,            0.005248,            0.005248,            0.005248
                  50,            0.040056,            0.045781,            0.060385,             0.86985,             0.77703,             0.84667,             0.52633,            0.034591,            0.036707,            0.057151,            0.005149,            0.005149,            0.005149
                  51,            0.039887,            0.045566,            0.060306,             0.86692,             0.78465,             0.84825,             0.52629,            0.034598,            0.036766,            0.057131,             0.00505,             0.00505,             0.00505
                  52,            0.039998,            0.045035,            0.060386,             0.87097,             0.77996,              0.8464,             0.52445,            0.034572,            0.036729,            0.057138,            0.004951,            0.004951,            0.004951
                  53,            0.039815,             0.04496,            0.060345,             0.87105,             0.78351,             0.84803,             0.52596,            0.034532,            0.036682,            0.057137,            0.004852,            0.004852,            0.004852
                  54,            0.039801,            0.044964,             0.06033,             0.86576,             0.78725,             0.84807,              0.5281,            0.034508,            0.036604,             0.05711,            0.004753,            0.004753,            0.004753
                  55,             0.03979,            0.045037,            0.060294,             0.86507,             0.78717,             0.84997,             0.52858,            0.034507,            0.036625,            0.057105,            0.004654,            0.004654,            0.004654
                  56,            0.039588,            0.044845,            0.060262,             0.86664,             0.78594,             0.85047,             0.52978,            0.034496,            0.036631,            0.057103,            0.004555,            0.004555,            0.004555
